snr_db,mode_id,modulation,light_blocks_per_seed,deep_blocks_per_seed,light_pooled_blocks,deep_pooled_blocks,light_ber,deep_ber,ber_diff,ber_abs_diff,light_se,deep_se,se_reduction_ratio,se_reduction_pct,light_ci95_low,light_ci95_high,light_ci95_width,deep_ci95_low,deep_ci95_high,deep_ci95_width,ci95_width_reduction_pct,light_overlaps_target,deep_overlaps_target,overlap_status_changed,light_ci_eligible,deep_ci_eligible,eligibility_changed
16.5,2,16QAM,10000,70000,20000,140000,0.037960009765625,0.038258599562872024,0.0002985897972470272,0.0002985897972470272,0.0005149172675967098,0.00019293129751992493,2.6689151745508366,62.53159300320233,0.036950771921135446,0.03896924761011455,0.0020184756889791017,0.03788045421973297,0.03863674490601108,0.0007562906862781105,62.53159300320209,False,False,False,False,False,False
16.5,3,64QAM,10000,70000,20000,140000,0.09286735568576389,0.09322577427455357,0.0003584185887896829,0.0003584185887896829,0.0006429163557104151,0.00024298811119727833,2.6458757695698174,62.2053305940896,0.09160723962857148,0.0941274717429563,0.0025202321143848183,0.0927495175766069,0.09370203097250024,0.0009525133958933341,62.20533059408935,False,False,False,False,False,False
17.0,0,BPSK,10000,70000,20000,140000,0.004558365885416667,0.004842150297619047,0.00028378441220238033,0.00028378441220238033,0.000195065480715775,7.793501333255876e-05,2.5029248392299035,60.04674274167663,0.004176037543213748,0.004940694227619586,0.0007646566844058383,0.004689397671487232,0.004994902923750863,0.0003055052522636312,60.04674274167653,False,False,False,True,True,False
17.0,1,QPSK,10000,70000,20000,140000,0.0093576171875,0.009664318266369048,0.00030670107886904795,0.00030670107886904795,0.00027835255606765323,0.00010909542828666287,2.551459400629003,60.80674457318531,0.0088120461776074,0.0099031881973926,0.001091142019785201,0.009450491226927189,0.009878145305810907,0.00042765407888371854,60.80674457318532,False,False,False,True,True,False
17.0,2,16QAM,10000,70000,20000,140000,0.034618017578125,0.03487371768043155,0.0002557001023065497,0.0002557001023065497,0.00048283910010869877,0.00018504454162545283,2.609312849043716,61.67573388654838,0.03367165294191195,0.03556438221433805,0.0018927292724261052,0.03451103037884566,0.03523640498201744,0.0007253746031717773,61.67573388654838,False,False,False,False,False,False
17.0,3,64QAM,10000,70000,20000,140000,0.08665484483506944,0.08690956256200397,0.000254717726934528,0.000254717726934528,0.0006264410626112184,0.0002381876955723027,2.630031165573203,61.977636877848376,0.08542702035235145,0.08788266931778743,0.002455648965435986,0.08644271467868225,0.08737641044532568,0.0009336957666434276,61.97763687784848,False,False,False,False,False,False
17.5,0,BPSK,10000,70000,20000,140000,0.00454306640625,0.004387276785714286,-0.0001557896205357139,0.0001557896205357139,0.00020201340630605398,7.513694563118038e-05,2.6886028518867864,62.80596075027489,0.004147120129890134,0.004939012682609866,0.0007918925527197317,0.004240008372277173,0.004534545199151399,0.00029453682687422683,62.80596075027493,False,False,False,True,True,False
17.5,1,QPSK,10000,70000,20000,140000,0.008984261067708334,0.008682721819196429,-0.00030153924851190547,0.00030153924851190547,0.0002810258313563126,0.00010442606369023139,2.6911464573628407,62.8411156418466,0.008433450438249961,0.009535071697166707,0.0011016212589167462,0.008478046734363575,0.008887396904029283,0.00040935016966570786,62.84111564184656,False,False,False,True,True,False
17.5,2,16QAM,10000,70000,20000,140000,0.03168701171875,0.03129705752418155,-0.00038995419456844954,0.00038995419456844954,0.00047619677340136554,0.00017756422700422887,2.6818283245195804,62.71200543087937,0.03075366604288332,0.032620357394616675,0.0018666913517333544,0.03094903163925326,0.031645083409109834,0.0006960517698565739,62.71200543087957,False,False,False,False,False,False
17.5,3,64QAM,10000,70000,20000,140000,0.08006457790798611,0.07980719788566468,-0.00025738002232143786,0.00025738002232143786,0.0006214748836304897,0.00023287000699059732,2.668763108061328,62.52945804821055,0.07884648713607036,0.08128266867990187,0.002436181543831517,0.07935077267196311,0.08026362309936624,0.0009128504274031335,62.52945804821084,False,False,False,False,False,False
18.0,0,BPSK,10000,70000,20000,140000,0.004220963541666667,0.004110579427083334,-0.0001103841145833331,0.0001103841145833331,0.00019793771518601515,7.326188581083514e-05,2.701782966617834,62.98740452672897,0.003833005619902077,0.004608921463431256,0.0007759158435291791,0.003966986130894096,0.004254172723272571,0.00028718659237847444,62.987404526728874,False,False,False,True,True,False
18.0,1,QPSK,10000,70000,20000,140000,0.008110172526041667,0.00798158714657738,-0.00012858537946428689,0.00012858537946428689,0.000272743376380177,0.00010148504776268585,2.687522767077611,62.79101288926414,0.0075755955083365205,0.008644749543746815,0.0010691540354102946,0.007782676452962516,0.008180497840192244,0.0003978213872297279,62.79101288926423,False,False,False,True,True,False
18.0,2,16QAM,10000,70000,20000,140000,0.0286603271484375,0.02847270972842262,-0.00018761742001488155,0.00018761742001488155,0.0004571882690097037,0.0001715744442103858,2.6646641410599363,62.471818320704955,0.027764238141178482,0.02955641615569652,0.001792178014518038,0.028136423817770262,0.028808995639074977,0.0006725718213047155,62.47181832070476,False,False,False,False,False,False
18.0,3,64QAM,10000,70000,20000,140000,0.07423688693576388,0.07403287527901786,-0.00020401165674602262,0.00020401165674602262,0.0006056590769924411,0.00022798477345533077,2.6565768749074303,62.35757340788998,0.0730497951448587,0.07542397872666907,0.0023741835818103796,0.07358602512304542,0.0744797254349903,0.0008937003119448839,62.357573407890676,False,False,False,False,False,False
20.0,0,BPSK,10000,70000,20000,140000,0.0023271484375,0.002417680431547619,9.053199404761899e-05,9.053199404761899e-05,0.00014665070055116326,5.526557844359204e-05,2.6535631161600044,62.314821384497186,0.00203971306441972,0.00261458381058028,0.0005748707461605603,0.0023093598977981787,0.0025260009652970593,0.00021664106749888067,62.31482138449723,False,False,False,True,True,False
20.0,1,QPSK,10000,70000,20000,140000,0.0046423828125,0.004813174293154762,0.00017079148065476165,0.00017079148065476165,0.00020354569727679616,7.805149575955446e-05,2.607838521171193,61.654067463084516,0.004243433245837479,0.005041332379162521,0.0007978991333250415,0.004660193361466035,0.004966155224843488,0.0003059618633774533,61.65406746308457,False,False,False,True,True,False
20.0,2,16QAM,10000,70000,20000,140000,0.017928694661458335,0.018193910435267857,0.0002652157738095226,0.0002652157738095226,0.0003613965695040072,0.00013863492697275214,2.6068219415951184,61.63911374061482,0.01722035738523048,0.018637031937686187,0.001416674552455706,0.017922185978401263,0.01846563489213445,0.0005434489137331883,61.63911374061476,False,False,False,False,False,False
20.0,3,64QAM,10000,70000,20000,140000,0.05139771050347222,0.051675915333581346,0.00027820483010912445,0.00027820483010912445,0.000522950266052933,0.00019935565855062686,2.623202520836039,61.87865816470431,0.050372727982008474,0.05242269302493597,0.0020499650429274957,0.05128517824282212,0.052066652424340575,0.0007814741815184573,61.878658164704284,False,False,False,False,False,False
22.0,0,BPSK,10000,70000,20000,140000,0.0016606770833333332,0.0015433407738095239,-0.00011733630952380936,0.00011733630952380936,0.0001228566798169533,4.480000516095113e-05,2.742336287140396,63.534742085086805,0.0014198779908921049,0.0019014761757745616,0.00048159818488245675,0.0014555327636940596,0.001631148783924988,0.00017561602023092844,63.53474208508678,False,False,False,True,True,False
22.0,1,QPSK,10000,70000,20000,140000,0.003253629557291667,0.0030794061569940478,-0.0001742234002976191,0.0001742234002976191,0.0001725088246005802,6.276323895609023e-05,2.748564724667397,63.61737487841005,0.0029155122610745295,0.0035917468535088043,0.0006762345924342748,0.002956390208640111,0.0032024221053479846,0.0002460318967078736,63.61737487841008,False,False,False,True,True,False
22.0,2,16QAM,10000,70000,20000,140000,0.012152457682291666,0.011882529994419643,-0.0002699276878720229,0.0002699276878720229,0.00030710406329383165,0.00011339299858844884,2.708315920001747,63.076685677077336,0.011550533718235756,0.012754381646347577,0.001203847928111821,0.011660279717186283,0.012104780271653003,0.0004445005544667195,63.07668567707735,False,False,False,False,False,False
22.0,3,64QAM,10000,70000,20000,140000,0.03598314887152778,0.03563529730902778,-0.00034785156250000115,0.00034785156250000115,0.00046073376088998286,0.00017212938721307804,2.67667112716577,62.6401618842557,0.035080110700183416,0.036886187042872144,0.0018060763426887283,0.03529792371009015,0.03597267090796541,0.0006747471978752612,62.64016188425586,False,False,False,False,False,False
